course_code	slug	target_lang	pricing_tier	voice	origin	clips	d_min	d_max	vpass	vfail	vnull	dangling
gle_for_eng	pod-0-unrecorded	gle	free	ga-IE-ColmNeural	tts	50	2026-05-06	2026-06-19	0	0	50	0
gle_for_eng	pod-0-unrecorded	gle	free	azure_ga-IE-ColmNeural	tts	6	2026-06-10	2026-06-10	0	0	6	0
heb_for_eng	pod-0	heb	free	he-IL-HilaNeural	tts	30	2026-05-05	2026-07-16	0	0	30	0
heb_for_eng	pod-0	heb	free	he-IL-AvriNeural	tts	102	2026-05-06	2026-07-16	0	0	102	0
heb_for_eng	pod-0	heb	free	azure_he-IL-AvriNeural	tts	10	2026-06-10	2026-07-16	0	0	10	0
heb_for_eng	pod-0-unrecorded	heb	free	he-IL-HilaNeural	tts	23	2026-05-05	2026-07-16	0	0	23	0
heb_for_eng	pod-0-unrecorded	heb	free	he-IL-AvriNeural	tts	73	2026-05-06	2026-07-16	0	0	73	0
heb_for_eng	pod-0-unrecorded	heb	free	azure_he-IL-AvriNeural	tts	9	2026-06-10	2026-07-16	0	0	9	0
hin_for_eng	pod-0	hin	free	eve	tts	12	2026-06-10	2026-06-10	0	0	12	0
hin_for_eng	pod-0	hin	free	89q2pnko	tts	56	2026-06-10	2026-06-10	0	0	56	0
hin_for_eng	pod-0	hin	free	rex	tts	8	2026-06-10	2026-06-10	0	0	8	0
hin_for_eng	pod-0	hin	free	73xd5dum	tts	17	2026-06-10	2026-06-19	0	0	17	0
hin_for_eng	pod-0	hin	free	xai_ara	tts	7	2026-06-10	2026-06-10	0	0	7	0
hin_for_eng	pod-0	hin	free	ara	tts	40	2026-06-10	2026-07-16	0	0	40	0
hin_for_eng	pod-0	hin	free	xai_eve	tts	2	2026-06-10	2026-06-10	0	0	2	0
hin_for_eng	pod-0-unrecorded	hin	free	ara	tts	25	2026-06-10	2026-06-10	0	0	25	0
hin_for_eng	pod-0-unrecorded	hin	free	eve	tts	8	2026-06-10	2026-06-10	0	0	8	0
hin_for_eng	pod-0-unrecorded	hin	free	rex	tts	7	2026-06-10	2026-06-10	0	0	7	0
hin_for_eng	pod-0-unrecorded	hin	free	89q2pnko	tts	43	2026-06-10	2026-06-10	0	0	43	0
hin_for_eng	pod-0-unrecorded	hin	free	xai_ara	tts	4	2026-06-10	2026-06-10	0	0	4	0
hin_for_eng	pod-0-unrecorded	hin	free	xai_eve	tts	1	2026-06-10	2026-06-10	0	0	1	0
hin_for_eng	pod-0-unrecorded	hin	free	73xd5dum	tts	11	2026-06-10	2026-06-19	0	0	11	0
hrv_for_eng	pod-0	hrv	free	hr-HR-SreckoNeural	tts	41	2026-05-06	2026-06-30	0	0	41	0
hrv_for_eng	pod-0	hrv	free	azure_hr-HR-SreckoNeural	tts	7	2026-06-10	2026-06-11	0	0	7	0
hrv_for_eng	pod-0	hrv	free	hr-HR-GabrijelaNeural	tts	21	2026-06-10	2026-07-16	0	0	21	0
hrv_for_eng	pod-0	hrv	free	azure_hr-HR-GabrijelaNeural	tts	4	2026-06-10	2026-07-16	0	0	4	0
hrv_for_eng	pod-0	hrv	free	JBFqnCBsd6RMkjVDRZzb	tts	8	2026-06-30	2026-06-30	0	0	8	0
hrv_for_eng	pod-0	hrv	free	EXAVITQu4vr4xnSDxMaL	tts	47	2026-06-30	2026-06-30	0	0	47	0
hrv_for_eng	pod-0	hrv	free	FGY2WhTYpPnrIDTdsKH5	tts	14	2026-06-30	2026-06-30	0	0	14	0
hrv_for_eng	pod-0-unrecorded	hrv	free	hr-HR-SreckoNeural	tts	35	2026-05-06	2026-06-30	0	0	35	0
hrv_for_eng	pod-0-unrecorded	hrv	free	azure_hr-HR-GabrijelaNeural	tts	1	2026-06-10	2026-06-10	0	0	1	0
hrv_for_eng	pod-0-unrecorded	hrv	free	hr-HR-GabrijelaNeural	tts	12	2026-06-10	2026-07-16	0	0	12	0
hrv_for_eng	pod-0-unrecorded	hrv	free	azure_hr-HR-SreckoNeural	tts	5	2026-06-10	2026-06-10	0	0	5	0
hrv_for_eng	pod-0-unrecorded	hrv	free	FGY2WhTYpPnrIDTdsKH5	tts	13	2026-06-30	2026-06-30	0	0	13	0
hrv_for_eng	pod-0-unrecorded	hrv	free	JBFqnCBsd6RMkjVDRZzb	tts	7	2026-06-30	2026-06-30	0	0	7	0
hrv_for_eng	pod-0-unrecorded	hrv	free	EXAVITQu4vr4xnSDxMaL	tts	40	2026-06-30	2026-06-30	0	0	40	0
hye_for_eng	pod-0	hye	free	hy-AM-HaykNeural	tts	62	2026-06-08	2026-06-19	0	0	62	0
hye_for_eng	pod-0	hye	free	azure_hy-AM-AnahitNeural	tts	6	2026-06-10	2026-06-19	0	0	6	0
hye_for_eng	pod-0	hye	free	azure_hy-AM-HaykNeural	tts	8	2026-06-10	2026-06-19	0	0	8	0
hye_for_eng	pod-0	hye	free	hy-AM-AnahitNeural	tts	66	2026-06-10	2026-06-19	0	0	66	0
hye_for_eng	pod-0-unrecorded	hye	free	hy-AM-HaykNeural	tts	44	2026-06-08	2026-06-19	0	0	44	0
hye_for_eng	pod-0-unrecorded	hye	free	azure_hy-AM-HaykNeural	tts	6	2026-06-10	2026-06-19	0	0	6	0
hye_for_eng	pod-0-unrecorded	hye	free	hy-AM-AnahitNeural	tts	53	2026-06-10	2026-06-19	0	0	53	0
hye_for_eng	pod-0-unrecorded	hye	free	azure_hy-AM-AnahitNeural	tts	2	2026-06-11	2026-06-11	0	0	2	0
isl_for_eng	pod-0	isl	free	is-IS-GunnarNeural	tts	71	2026-06-01	2026-07-16	0	0	71	0
isl_for_eng	pod-0	isl	free	is-IS-GudrunNeural	tts	59	2026-06-08	2026-07-16	0	0	59	0
